   0 0.230687 0.526303   55   14   28   73   94   35   58   49    8   15    6   20   74   65   88   86   45   36   59   50    9   89   80   46   37   24   96   31   22   47   61   52    2   25   23   91   82   41   32   39   62   12    3   98   17   78   69   92   42   63   54   13   27   18   79   93   43   57   48   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   1 0.946688 0.706458   64   40   89   33   82   51   52   16   71   11    5   97   95   10    4   29   75   76   94   87   48   21   44   93   62   26   19   85   54   72   41   90   83   59   60   24   99   79   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   2 0.265308 0.441918   78   73   91   82   45   36   63   54   49    8    3   98   79   65   88   42   37   55   14   27   94   89   80   43   61   52   15    6   24   96   86   35   58   53   12   30   25   74   69    0   92   46   41   32   59   13   31   22   17   93   84   47   28   23   39   62   57   48   20   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   3 0.020681 0.101974    2   46   23   53   22   13   96   92   61   74   43   86   37    6   98   49   27    0   14   65   57   39    8   20   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   4 0.7785 0.447273   17   24    7   84   83   90   72   55   62   37   44   25   85   91   66   48   38   19   26    1   93   56   21   97   87   94   76   75   29   10   95   70   77   52   58   33   40   30    5   11   99   81   88   71   78   53   60   59   34   41   16   31   89   64   79   54   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   5 0.868316 0.361676   84   93   53   70   79   72   41   97   83   52   78   38   40    1   26   91   60   77   16   11   81   90   59   76   24   87   89   66   75   44   21   30    7   95   88   48    4   34   29   99   85   94   54   71   64   56   33   19   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   6 0.0193058 0.484207   98   92   65   42   45   36   31   22    0   57   37   28   23   14   96   49   35    2   20   15   74   63   54   32   27   12    3   80   69   55   46   13   58   61   52   47   25   86   73   39   17    8   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   7 0.622852 0.0466814    4   97   87   76   52   66   24   14   89   44   37   34   16   88   81   57   78   71   19   91   56   49   70   39   93    5   59   48   41   38   20   13   92   61   64   30   23   95   84   77   53   74   43   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   8 0.0724894 0.158148   22    2   57    0   39   46   98   23   13   65   14   53   73   61   92   43   74   20   27   86   37    3   96    6   49   80   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   9 0.398015 0.967349   50   46   21   58   35   36   45   86   73    0   15   18   28   55   33   42   79   17   54   63   32   41   82   69   25   12   62   90   67   68   10   52   47   80   75   22   31   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
