   0 0.775421 0.568   17   14   11   15   12   16   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   1 0.0830359 0.366053   12   15    5   10   19    3   14    4    9   18    7   13    8   -1   -1   -1   -1   -1   -1
   2 0.152427 0.97514    5    6   18    8   14    9   15   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   3 0.465092 0.112442    7   12    1   10   16    4   13   19   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   4 0.400831 0.154101   19   10   16   15   12    8   13    1    3    7   -1   -1   -1   -1   -1   -1   -1   -1   -1
   5 0.138236 0.855347    2    8   18   14    1   17    9    6   15   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   6 0.349344 0.907014    9    2   14   11   17   15   18    8    5   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
   7 0.275398 0.125276   12    3   19    8   15   13    1    4   16   10   -1   -1   -1   -1   -1   -1   -1   -1   -1
   8 0.101795 0.524042    5   15   12   18    7    9    4    2   19   16    6   14    1   -1   -1   -1   -1   -1   -1
   9 0.0288177 0.657868    6   14    8   18    1    5    2   15   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
  10 0.461132 0.0722573    4   13    1   19    3   16   12    7   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
  11 0.64832 0.707385   15   16    0    6   14   12   17   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
  12 0.549455 0.326078    7   17    3    1    8    4   13   14    0   19   16   10   11   15   -1   -1   -1   -1   -1
  13 0.222506 0.0340586   10   12   19    4    7    3    1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
  14 0.344576 0.771878   17   18    9   15    5    0    6   11    1   12    2   16    8   -1   -1   -1   -1   -1   -1
  15 0.383036 0.611997    8   14    4   11   16    1    7    0    6    9   18    5   17   12    2   -1   -1   -1   -1
  16 0.586168 0.454867    4   19   15   11   17    3    8   14   10    0    7   12   -1   -1   -1   -1   -1   -1   -1
  17 0.615817 0.739423   14    0   12    5    6   16   15   11   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
  18 0.0902155 0.748102   14    5    8    2    9    6    1   15   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
  19 0.297935 0.108781    4    7   16   10    1   13    8   12    3   -1   -1   -1   -1   -1   -1   -1   -1   -1   -1
